Band,fl_Hz,fu_Hz,N,delta_rel_%,wl,integer_bits,frac_bits,lsbExt,H,Heps,guard_bits
39,7127.189745122714,8979.696386474985,4,5.0,18,5,13,-23,2.24312,533.598,10
39,7127.189745122714,8979.696386474985,4,10.0,17,5,12,-23,2.26435,556.72,10
39,7127.189745122714,8979.696386474985,4,15.0,16,5,11,-23,2.0506,543.941,10
39,7127.189745122714,8979.696386474985,4,20.0,16,5,11,-23,2.0506,543.941,10
39,7127.189745122714,8979.696386474985,5,5.0,22,7,15,-25,2.51954,3948.34,12
39,7127.189745122714,8979.696386474985,5,10.0,22,7,15,-25,2.51954,3948.34,12
39,7127.189745122714,8979.696386474985,5,15.0,22,7,15,-25,2.51954,3948.34,12
39,7127.189745122714,8979.696386474985,5,20.0,22,7,15,-25,2.51954,3948.34,12
39,7127.189745122714,8979.696386474985,6,5.0,26,8,18,-28,3.09274,30902.8,15
39,7127.189745122714,8979.696386474985,6,10.0,26,8,18,-28,3.09274,30902.8,15
39,7127.189745122714,8979.696386474985,6,15.0,26,8,18,-28,3.09274,30902.8,15
39,7127.189745122714,8979.696386474985,6,20.0,26,8,18,-28,3.09274,30902.8,15
